ID do Empregado,Primeiro nome,Sobrenome,Gênero,Idade,Viagem de negócios,Departamento,Distância de Casa (KM),Estado,Etnia,Educação,Campo da educação,Cargo de Trabalho,Estado civil,Salário,Nível de opção de ações,Ao longo do tempo,Data de contratação,Atrito,Anos na empresa,Anos na função mais recente,Anos desde a última promoção,Anos com gerente atual
07B2-D67A,Rossie,Everleigh,Masculino,44,Algumas viagens,Vendas,40,New York,Branco,2,Economia,Gerente,Divorciado,285620,1,Não,40938,Não,10,6,8,4
1749-81A2,Elora,Bentjens,Feminino,48,Algumas viagens,Tecnologia,17,California,Negro ou afro-americano,3,Sistemas de informação,Engenheiro de software,Solteiro,65860,0,Não,40940,Não,10,6,7,1
FF14-A43E,Koenraad,Nannizzi,Masculino,47,Algumas viagens,Tecnologia,41,New York,Índio Americano ou Nativo do Alasca,1,Ciência da Computação,Cientista de dados,Casado,40786,0,Não,40940,Não,10,3,5,5
3CD6-5587,Dorise,Klishin,Feminino,31,Algumas viagens,Tecnologia,20,California,Branco,2,Ciência da Computação,Engenheiro de software,Solteiro,59697,0,Sim,40941,Sim,7,5,6,0
4FC2-A40D,Gayle,Riseley,Feminino,32,Sem viagens,Tecnologia,12,New York,Negro ou afro-americano,3,Ciência da Computação,Gerente de engenharia,Casado,316725,1,Não,40941,Não,10,6,10,2
9AAB-DCD0,Staci,Leith,Feminino,28,Algumas viagens,Tecnologia,14,Illinois,Branco,2,Estudos de Negócios,Engenheiro de software,Divorciado,105984,2,Sim,40943,Não,10,7,9,10
427A-8C69,Pasquale,Abreheart,Masculino,32,Algumas viagens,Tecnologia,15,California,Grupos étnicos mistos ou múltiplos,3,Outro,Gerente de análise,Casado,393294,1,Não,40943,Não,10,2,2,2
A923-9EF6,Alaine,Hinrichsen,Feminino,41,Viajante frequente,Tecnologia,7,California,Negro ou afro-americano,1,Estudos de Negócios,Engenheiro de aprendizado de máquina,Solteiro,107008,0,Não,40944,Não,10,9,10,9
5C61-8F3A,Dyana,Gallie,Feminino,34,Algumas viagens,Tecnologia,5,California,Branco,1,Sistemas de informação,Cientista de dados,Solteiro,127432,0,Sim,40945,Não,10,8,9,9
CF2F-8CA3,Lindy,Rawstorne,Masculino,45,Algumas viagens,Vendas,20,California,Branco,2,Marketing,Executivo de vendas,Casado,76693,1,Não,40945,Não,10,2,9,10
40A9-8EB0,Joannes,McFadden,Feminino,39,Algumas viagens,Tecnologia,31,California,Branco,3,Sistemas de informação,Engenheiro de software,Solteiro,90017,0,Sim,40946,Não,10,7,7,3
2E72-4BF1,Grace,Gohier,Masculino,44,Algumas viagens,Vendas,21,California,Branco,3,Marketing,Gerente,Casado,426142,0,Não,40946,Não,10,4,5,4
EE39-C8F2,Jaclin,Chadburn,Feminino,47,Algumas viagens,Tecnologia,17,New York,Branco,2,Ciência da Computação,Engenheiro de software,Casado,46514,2,Não,40951,Não,10,9,9,2
C0C7-A3EF,Hagen,Worge,Masculino,48,Sem viagens,Vendas,9,California,Branco,5,Economia,Executivo de vendas,Solteiro,125587,0,Não,40951,Não,10,10,10,4
79F3-8AA5,Lacy,Domerc,Feminino,47,Algumas viagens,Recursos Humanos,21,New York,Grupos étnicos mistos ou múltiplos,3,Marketing,Executivo de RH,Solteiro,98608,0,Não,40953,Não,10,5,10,4
9528-AA17,Jaquelin,Kite,Feminino,48,Algumas viagens,Tecnologia,30,New York,Negro ou afro-americano,3,Sistemas de informação,Engenheiro de software,Casado,72794,1,Não,40953,Não,10,4,5,3
9C71-34AE,Yvor,Walaron,Não-binário,40,Algumas viagens,Tecnologia,44,California,Branco,2,Ciência da Computação,Engenheiro de software,Solteiro,69119,0,Não,40954,Não,10,8,10,5
C79A-E5E1,Alvera,Kulver,Feminino,32,Viajante frequente,Tecnologia,13,California,Branco,1,Ciência da Computação,Cientista de dados,Divorciado,48835,1,Sim,40956,Sim,8,5,7,0
5468-EEE1,Forbes,Toretta,Masculino,28,Sem viagens,Tecnologia,44,New York,Branco,2,Ciência da Computação,Engenheiro de software senior,Casado,218406,1,Não,40956,Não,10,10,10,10
B50B-5A18,Paulina,Senecaut,Feminino,40,Viajante frequente,Tecnologia,27,New York,Negro ou afro-americano,4,Ciência da Computação,Engenheiro de software,Divorciado,42333,1,Não,40958,Não,10,4,5,5
11AE-3E4D,Sheffie,Tonkin,Masculino,39,Algumas viagens,Vendas,38,California,Grupos étnicos mistos ou múltiplos,2,Graduação Técnica,Gerente,Casado,300299,1,Sim,40958,Não,10,7,7,10
151D-1FF2,Kai,Lush,Feminino,34,Viajante frequente,Vendas,15,California,Branco,2,Marketing,Executivo de vendas,Solteiro,173246,0,Sim,40959,Sim,9,4,7,7
D584-4E31,Patrica,Lamyman,Feminino,35,Algumas viagens,Recursos Humanos,22,California,Grupos étnicos mistos ou múltiplos,1,Economia,Recrutador,Casado,67264,0,Não,40961,Não,10,8,8,2
0FC8-561B,Caryl,Loving,Masculino,29,Viajante frequente,Tecnologia,14,Illinois,Asiático ou Asiático Americano,3,Ciência da Computação,Engenheiro de software senior,Casado,93591,1,Não,40961,Não,10,4,10,3
A531-8159,Carlyn,Pavese,Feminino,37,Sem viagens,Tecnologia,16,New York,Grupos étnicos mistos ou múltiplos,3,Sistemas de informação,Cientista de dados,Divorciado,82099,2,Não,40962,Não,10,1,7,6
E7A6-33A3,Amye,Townes,Feminino,38,Algumas viagens,Tecnologia,39,Illinois,Branco,4,Sistemas de informação,Cientista de dados,Casado,83590,1,Não,40962,Não,10,2,3,9
E4F4-11B9,Susanne,Wisam,Feminino,29,Algumas viagens,Vendas,19,New York,Branco,2,Marketing,Executivo de vendas,Solteiro,122811,0,Sim,40966,Sim,2,1,1,1
586E-5C14,Gunther,Keays,Masculino,40,Algumas viagens,Tecnologia,9,New York,Negro ou afro-americano,1,Ciência da Computação,Engenheiro de software,Solteiro,58551,0,Não,40966,Não,10,6,7,3
8A40-C85A,Reggie,Matthewman,Feminino,44,Algumas viagens,Tecnologia,28,California,Negro ou afro-americano,3,Sistemas de informação,Engenheiro de software,Casado,53325,1,Sim,40967,Não,10,4,8,4
2B08-7D3D,Roderic,Daddow,Masculino,45,Algumas viagens,Vendas,19,Illinois,Branco,4,Marketing,Representante de vendas,Casado,47326,1,Não,40968,Não,10,10,10,10
C96F-0F3B,Jessa,Glasscoo,Feminino,41,Algumas viagens,Vendas,16,California,Branco,1,Marketing,Representante de vendas,Casado,48147,1,Não,40969,Não,10,8,10,5
9DFE-1FD5,Angel,Hazeup,Masculino,42,Algumas viagens,Recursos Humanos,4,Illinois,Negro ou afro-americano,3,Recursos Humanos,Gestor de RH,Casado,463051,1,Não,40969,Não,10,0,10,7
C0A1-EB7D,Leona,McKnish,Feminino,36,Algumas viagens,Tecnologia,32,California,Asiático ou Asiático Americano,3,Ciência da Computação,Engenheiro de software senior,Casado,111294,1,Não,40970,Não,10,8,8,10
5731-90E6,Leonidas,Clarke-Williams,Não-binário,35,Sem viagens,Tecnologia,27,California,Asiático ou Asiático Americano,3,Ciência da Computação,Gerente de análise,Solteiro,542695,0,Não,40970,Não,10,5,5,1
FD3F-5255,Quintilla,Wyllt,Feminino,45,Algumas viagens,Tecnologia,2,Illinois,Branco,1,Sistemas de informação,Cientista de dados,Divorciado,64795,3,Sim,40971,Não,10,5,8,10
132B-F2B2,Erica,Dracksford,Feminino,35,Algumas viagens,Tecnologia,36,California,Branco,4,Ciência da Computação,Engenheiro de software,Casado,59086,1,Sim,40972,Não,10,2,8,4
9DB2-76B3,Buck,Klawi,Masculino,41,Algumas viagens,Vendas,17,New York,Branco,3,Economia,Executivo de vendas,Casado,116966,2,Não,40972,Não,10,4,10,7
4969-9A35,Thekla,Flintuff,Não-binário,39,Viajante frequente,Tecnologia,8,California,Asiático ou Asiático Americano,4,Sistemas de informação,Engenheiro de software,Solteiro,137427,0,Sim,40972,Não,10,9,10,8
0CED-EE28,Ruthy,Pena,Feminino,48,Algumas viagens,Tecnologia,25,California,Branco,1,Ciência da Computação,Cientista de dados,Casado,47464,0,Não,40974,Não,10,4,8,10
D077-169C,Gustavo,Chatel,Masculino,46,Algumas viagens,Vendas,20,California,Negro ou afro-americano,2,Graduação Técnica,Executivo de vendas,Casado,150731,2,Não,40974,Não,10,8,9,3
63DA-AA21,Diannne,Choules,Feminino,43,Algumas viagens,Tecnologia,35,California,Branco,3,Ciência da Computação,Gerente de engenharia,Divorciado,436813,2,Não,40975,Não,10,8,9,7
ACA9-5DC2,Mireielle,Chstney,Feminino,46,Viajante frequente,Vendas,14,New York,Branco,1,Economia,Executivo de vendas,Casado,205159,1,Não,40975,Não,10,1,9,6
12B5-11CC,Vitoria,MacVaugh,Feminino,30,Algumas viagens,Tecnologia,8,Illinois,Branco,3,Sistemas de informação,Engenheiro de software,Casado,70771,1,Não,40976,Não,10,9,9,2
00A3-2445,Wyatt,Ziehm,Masculino,30,Algumas viagens,Tecnologia,6,California,Negro ou afro-americano,2,Ciência da Computação,Engenheiro de aprendizado de máquina,Casado,126238,0,Não,40976,Não,10,3,6,6
076F-8AA3,Reese,Dibbert,Masculino,39,Algumas viagens,Tecnologia,5,California,Branco,2,Ciência da Computação,Cientista de dados,Solteiro,58685,0,Não,40976,Sim,9,6,6,2
3F19-FC5A,Hy,Trevance,Masculino,35,Algumas viagens,Vendas,29,New York,Branco,5,Marketing,Executivo de vendas,Divorciado,182764,2,Sim,40978,Não,10,7,9,9
8233-2483,Sheba,McCromley,Feminino,35,Algumas viagens,Recursos Humanos,7,California,Grupos étnicos mistos ou múltiplos,3,Marketing,Recrutador,Divorciado,47995,3,Sim,40980,Não,10,5,6,3
1C87-44CB,Darlene,Mansbridge,Feminino,28,Viajante frequente,Tecnologia,9,California,Negro ou afro-americano,3,Ciência da Computação,Engenheiro de software,Casado,48930,1,Sim,40982,Sim,7,4,6,2
6345-2F33,Ignacius,Streeter,Não-binário,46,Algumas viagens,Tecnologia,36,New York,Negro ou afro-americano,2,Ciência da Computação,Engenheiro de aprendizado de máquina,Casado,102964,2,Não,40985,Não,10,10,10,2
A2FB-2D5D,Lebbie,Poure,Feminino,43,Algumas viagens,Tecnologia,11,California,Branco,5,Sistemas de informação,Gerente de análise,Casado,482510,1,Não,40985,Não,10,9,9,1
E5C1-B122,Camila,Hernik,Feminino,36,Sem viagens,Vendas,33,New York,Asiático ou Asiático Americano,4,Marketing,Executivo de vendas,Casado,116057,1,Não,40987,Não,10,2,10,2
462E-03DF,Muffin,Ellcome,Feminino,45,Algumas viagens,Tecnologia,20,New York,Branco,1,Ciência da Computação,Engenheiro de software,Casado,90264,0,Sim,40987,Não,10,2,4,4
C2DD-9D37,Ring,Genge,Masculino,42,Algumas viagens,Vendas,16,Illinois,Asiático ou Asiático Americano,4,Marketing,Executivo de vendas,Casado,106277,2,Não,40987,Não,10,0,5,5
AEDB-BB62,Munmro,Ledamun,Masculino,39,Algumas viagens,Tecnologia,34,California,Grupos étnicos mistos ou múltiplos,1,Ciência da Computação,Engenheiro de aprendizado de máquina,Divorciado,264285,1,Não,40991,Não,10,10,10,1
88B8-EB84,Crystal,McLleese,Feminino,34,Algumas viagens,Tecnologia,41,California,Negro ou afro-americano,2,Sistemas de informação,Gerente de engenharia,Divorciado,357371,1,Não,40992,Não,10,9,9,3
8822-B9C5,Amity,Kalisz,Feminino,41,Algumas viagens,Tecnologia,9,California,Negro ou afro-americano,3,Ciência da Computação,Engenheiro de aprendizado de máquina,Solteiro,197592,0,Sim,40992,Não,10,5,10,0
E8F5-C47D,Jayne,Mickleburgh,Feminino,30,Algumas viagens,Recursos Humanos,19,New York,Grupos étnicos mistos ou múltiplos,3,Recursos Humanos,Executivo de RH,Casado,97153,1,Não,40993,Não,10,5,6,9
D696-9D82,Eberto,Flaherty,Masculino,38,Algumas viagens,Tecnologia,39,New York,Branco,3,Ciência da Computação,Cientista de dados,Solteiro,65416,0,Não,40993,Não,10,5,10,7
BE93-0736,Lucas,Oran,Masculino,35,Sem viagens,Tecnologia,17,California,Asiático ou Asiático Americano,2,Ciência da Computação,Engenheiro de software senior,Divorciado,117151,1,Não,40994,Não,10,3,7,6
0322-D46B,Nikolas,Leslie,Masculino,32,Algumas viagens,Vendas,39,California,Negro ou afro-americano,4,Marketing,Executivo de vendas,Casado,105748,2,Não,40996,Não,10,0,1,8
1E61-70EC,Addison,Elfe,Masculino,46,Algumas viagens,Tecnologia,11,California,Negro ou afro-americano,4,Sistemas de informação,Engenheiro de software,Casado,56608,3,Sim,40999,Não,10,3,5,9
5222-EBE1,Saxe,Theodoris,Masculino,30,Algumas viagens,Tecnologia,14,California,Asiático ou Asiático Americano,4,Ciência da Computação,Engenheiro de aprendizado de máquina,Casado,194823,1,Não,41000,Não,10,4,9,8
DEBE-1622,Bartolemo,Balma,Masculino,28,Viajante frequente,Tecnologia,22,California,Branco,5,Ciência da Computação,Engenheiro de aprendizado de máquina,Solteiro,205433,0,Não,41001,Sim,4,1,2,1
A366-C17A,Jodie,Le Breton De La Vieuville,Masculino,42,Algumas viagens,Tecnologia,34,New York,Branco,4,Estudos de Negócios,Engenheiro de aprendizado de máquina,Divorciado,126463,1,Não,41003,Não,10,0,1,8
2962-039F,Darice,Excell,Feminino,47,Algumas viagens,Tecnologia,5,New York,Grupos étnicos mistos ou múltiplos,5,Sistemas de informação,Cientista de dados,Solteiro,133616,0,Sim,41005,Não,10,9,9,0
21CB-EF3E,Eleanora,Thornbarrow,Feminino,36,Algumas viagens,Tecnologia,4,California,Branco,3,Sistemas de informação,Engenheiro de software senior,Solteiro,208338,0,Não,41006,Não,10,10,10,1
9727-BC84,Murdock,Spaduzza,Masculino,31,Algumas viagens,Vendas,15,California,Branco,3,Marketing,Executivo de vendas,Casado,187930,3,Não,41006,Sim,3,2,2,0
68FB-06A7,Elle,Balcombe,Feminino,43,Viajante frequente,Vendas,1,New York,Grupos étnicos mistos ou múltiplos,3,Marketing,Executivo de vendas,Solteiro,180996,0,Não,41009,Não,10,8,10,9
74F2-5C55,Skipper,Sambles,Masculino,47,Algumas viagens,Tecnologia,40,New York,Branco,2,Ciência da Computação,Cientista de dados,Solteiro,108798,0,Não,41011,Não,10,0,4,7
085C-7FC2,Emmerich,Wallicker,Masculino,47,Sem viagens,Vendas,17,New York,Branco,4,Outro,Executivo de vendas,Casado,176158,0,Não,41012,Não,10,9,10,2
AB5F-244C,Horst,Mynett,Masculino,36,Algumas viagens,Tecnologia,7,California,Negro ou afro-americano,4,Ciência da Computação,Cientista de dados,Divorciado,73643,1,Não,41013,Não,10,0,7,9
55D6-1423,Benyamin,Wasielewicz,Masculino,43,Sem viagens,Tecnologia,15,California,Asiático ou Asiático Americano,2,Outro,Engenheiro de aprendizado de máquina,Divorciado,76826,1,Não,41013,Não,10,9,9,7
58C8-63FA,Pierce,Birkby,Masculino,38,Algumas viagens,Tecnologia,40,California,Branco,4,Ciência da Computação,Engenheiro de software senior,Divorciado,126505,1,Não,41014,Não,10,1,5,8
87D2-8B67,Joana,McDougal,Feminino,45,Algumas viagens,Tecnologia,34,New York,Branco,2,Sistemas de informação,Engenheiro de aprendizado de máquina,Divorciado,152278,1,Sim,41017,Não,10,8,8,2
9FE1-0345,Eldridge,Artois,Masculino,28,Algumas viagens,Tecnologia,6,California,Branco,1,Sistemas de informação,Cientista de dados,Solteiro,87175,0,Não,41020,Não,10,6,10,7
EBBD-37D4,Bonni,Coal,Não-binário,35,Algumas viagens,Vendas,26,California,Negro ou afro-americano,4,Marketing,Executivo de vendas,Solteiro,98435,0,Não,41022,Não,10,7,9,9
9F65-F612,Patrice,Wearing,Feminino,28,Algumas viagens,Tecnologia,33,California,Asiático ou Asiático Americano,3,Ciência da Computação,Cientista de dados,Solteiro,54536,0,Não,41022,Sim,3,3,3,2
152E-8DB1,Beth,Kunz,Feminino,31,Algumas viagens,Tecnologia,14,New York,Grupos étnicos mistos ou múltiplos,1,Outro,Engenheiro de software,Solteiro,63482,0,Não,41022,Sim,1,0,1,1
3994-472A,Rolf,Cunah,Masculino,29,Algumas viagens,Tecnologia,33,California,Branco,3,Ciência da Computação,Engenheiro de software,Divorciado,153909,1,Não,41022,Não,10,10,10,2
02DA-7A72,Tadeas,Lackney,Masculino,29,Viajante frequente,Vendas,42,California,Branco,3,Graduação Técnica,Representante de vendas,Casado,78726,1,Não,41024,Sim,6,0,1,1
E1B4-9AA1,Ashli,Hales,Feminino,46,Algumas viagens,Vendas,36,California,Branco,3,Marketing,Executivo de vendas,Casado,96188,1,Sim,41025,Sim,9,8,9,5
8567-5B27,Shani,Deackes,Feminino,28,Viajante frequente,Vendas,32,New York,Negro ou afro-americano,1,Graduação Técnica,Representante de vendas,Solteiro,53439,0,Sim,41026,Sim,3,0,0,1
5237-1B85,Faydra,Losbie,Feminino,28,Algumas viagens,Tecnologia,9,New York,Asiático ou Asiático Americano,4,Ciência da Computação,Engenheiro de software,Solteiro,43578,0,Sim,41026,Sim,5,3,5,5
F93D-CB5A,Zondra,Duigenan,Feminino,40,Algumas viagens,Tecnologia,26,California,Grupos étnicos mistos ou múltiplos,3,Sistemas de informação,Engenheiro de software senior,Solteiro,120858,0,Não,41028,Não,10,9,9,8
B785-D8F8,Ruprecht,Blatchford,Masculino,32,Algumas viagens,Tecnologia,36,California,Negro ou afro-americano,2,Ciência da Computação,Engenheiro de software,Solteiro,78672,0,Não,41028,Não,10,6,9,5
A9EB-9E41,Jacki,Mitro,Feminino,30,Algumas viagens,Tecnologia,30,New York,Asiático ou Asiático Americano,1,Ciência da Computação,Engenheiro de aprendizado de máquina,Casado,228438,1,Não,41029,Não,10,6,9,10
C25C-C434,Jillayne,Goshawke,Feminino,35,Viajante frequente,Tecnologia,39,California,Grupos étnicos mistos ou múltiplos,4,Ciência da Computação,Engenheiro de software,Solteiro,71257,0,Não,41030,Não,10,1,6,10
F265-79B0,Glenda,Peacock,Feminino,37,Viajante frequente,Tecnologia,14,California,Grupos étnicos mistos ou múltiplos,4,Ciência da Computação,Engenheiro de aprendizado de máquina,Casado,99936,1,Não,41030,Não,10,9,10,6
9E7A-1F70,Carita,Strowther,Feminino,29,Algumas viagens,Vendas,4,California,Grupos étnicos mistos ou múltiplos,2,Marketing,Executivo de vendas,Solteiro,129356,0,Não,41031,Sim,5,1,1,2
D199-1896,Lin,Dibbs,Feminino,42,Algumas viagens,Vendas,39,California,Branco,3,Economia,Executivo de vendas,Casado,206277,2,Não,41031,Não,10,6,10,1
9AAD-D3C1,Annie,Jablonski,Feminino,45,Algumas viagens,Vendas,43,California,Negro ou afro-americano,2,Outro,Executivo de vendas,Divorciado,106610,1,Sim,41032,Não,10,0,7,5
9D7B-9B37,Eleanor,Hillen,Feminino,28,Algumas viagens,Vendas,8,California,Grupos étnicos mistos ou múltiplos,3,Marketing,Executivo de vendas,Casado,194964,1,Sim,41033,Não,10,2,2,8
E9B9-3944,Tobit,Lowry,Masculino,42,Algumas viagens,Tecnologia,5,New York,Grupos étnicos mistos ou múltiplos,1,Ciência da Computação,Cientista de dados,Solteiro,47461,0,Não,41034,Não,10,4,7,5
4CCA-B1E6,Dolf,Featenby,Masculino,43,Algumas viagens,Vendas,39,California,Branco,2,Marketing,Executivo de vendas,Divorciado,176705,1,Não,41034,Não,10,5,7,7
A4A4-F49C,Nichols,Baty,Masculino,34,Algumas viagens,Tecnologia,40,Illinois,Branco,3,Ciência da Computação,Engenheiro de software senior,Casado,97542,3,Não,41035,Não,10,10,10,7
FE2B-3DC7,Mattie,Wippermann,Feminino,28,Algumas viagens,Tecnologia,23,New York,Branco,3,Sistemas de informação,Cientista de dados,Casado,35606,3,Sim,41036,Sim,5,3,4,5
C6D7-A568,Eve,Takkos,Feminino,42,Sem viagens,Vendas,10,California,Branco,2,Marketing,Representante de vendas,Casado,48922,1,Não,41036,Não,10,3,9,9
3560-C117,Allyson,Kordas,Feminino,28,Viajante frequente,Tecnologia,4,California,Grupos étnicos mistos ou múltiplos,3,Ciência da Computação,Cientista de dados,Casado,65659,1,Sim,41038,Sim,2,0,0,0
9169-FC4B,Reinaldos,Baynes,Masculino,28,Algumas viagens,Recursos Humanos,18,California,Havaiano nativo,2,Economia,Executivo de RH,Casado,179561,1,Não,41038,Sim,1,0,0,1
49B2-0364,Husain,Frizzell,Masculino,45,Viajante frequente,Vendas,1,New York,Negro ou afro-americano,3,Marketing,Representante de vendas,Casado,70487,1,Não,41038,Não,10,0,7,3
4404-DE5A,Karina,Weddup,Feminino,32,Algumas viagens,Tecnologia,39,California,Asiático ou Asiático Americano,1,Ciência da Computação,Engenheiro de software,Solteiro,68256,0,Não,41039,Não,10,7,9,6
F9B6-C80B,Veronica,Farlham,Feminino,43,Algumas viagens,Tecnologia,10,California,Branco,3,Ciência da Computação,Engenheiro de software,Divorciado,43211,1,Não,41041,Não,10,2,6,9
B1EC-849B,Paule,Mapplebeck,Feminino,28,Algumas viagens,Vendas,1,California,Branco,4,Marketing,Executivo de vendas,Casado,87039,1,Não,41042,Não,10,3,5,4
